filename,filepath,title,artist,album,album_artist,genre,date,duration_seconds,bpm,beaTunes_tempo_COLOR,beaTunes_SPECTRUM,beaTunes_COLOR,beaTunes_tempo_timbre_COLOR,MOOD_DANCEABILITY,Tuning,has_lyrics,lyrics_text
01 Don't Say a Word.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\01 Don't Say a Word.mp3,Don't Say a Word,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,247.51,125,9b5d57,2.338585;27.67323;22.6063;44.04331;65.87008;38.97638;32.740158;99.0;43.65354;65.09055;24.944883;14.811024;14.031498;24.165356;17.149609;14.031498;21.826773;17.929134;10.133862;8.1850395;14.421261;15.980316;18.3189;0.0;,183fa5,075eae,50,-2,Sí,"[Intro]
Oh, if you'd never said anything
If you'd never said anything
If you never, if you never
If you never, if you'd never said anything

[Refrain]
If you never, if you never
Oh
If you never, if you never
Oh
If you never, if you never
Oh
If you never, if you never

[Verse 1]
Here it is, in my hands
In my veins and over lands
It spreads like fire seeking air
To pull me in my own funfair

[Pre-Chorus]
Won't you come? Won't you come?
Won't you come? Just don't say a word
Won't you come? Won't you come?
Won't you come? Just don't say a word

[Chorus]
If you never, if you never
(Just don't say a word)
If you never, if you never
(Just don't say a word)

[Verse 2]
I'm more alive I've ever been
So now I give you all my sins
I've chosen you, I've chosen you
But don't say a word

[Bridge]
And if I save us and I fall down
I will leave your words behind now
If you never held me under
If you never hear my thunder

[Refrain]
If you never, if you never
Oh
If you never, if you never
If you never, if you never
Oh
If you never, if you never

[Outro]
Just don't say a word"
01 Fields Of Gold.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Fields Of Gold - Single\01 Fields Of Gold.mp3,Fields Of Gold,Ellie Goulding,Fields Of Gold - Single,Ellie Goulding,Pop,2022-11-01,224.94,85,2a2515,3.5078773;67.81889;73.27559;99.0;70.15748;39.366142;60.02362;97.05118;43.26378;28.062992;25.334646;22.216536;22.6063;30.011812;29.622047;35.078743;54.95669;39.755905;27.283466;27.283466;44.43307;60.02362;44.04331;0.0;,1861c4,06a53b,20,1,Sí,"[Intro]
Ooh, ooh, ooh

[Verse 1]
You'll remember me when the west wind moves
Upon the fields of barley
You'll forget the sun in his jealous sky
As we walk in fields of gold

[Verse 2]
So she took her love for to gaze awhile
Upon the fields of barley
In his arms she fell as her hair came down
Among the fields of gold

[Verse 3]
Will you stay with me? Will you be my love?
Among the fields of barley
We'll forget the sun in his jealous sky
As we lie in fiеlds of gold

[Refrain]
I never made promisеs lightly
And there have been some that I've broken
But I swear in the days still left
We'll walk in fields of gold
We'll walk in fields of gold

[Instrumental Break]

[Refrain]
I never made promises lightly
And there have been some that I've broken
But I swear in the days still left
We'll walk in fields of gold
We'll walk in fields of gold

[Interlude]
Ooh, ooh, ooh

[Verse 4]
Many years have passed since those summer days
Among the fields of barley
See the children run as the sun goes down
Among the fields of gold

[Verse 5]
You'll remember me when the west wind moves
'Pon the fields of barley
You can tell the sun in his jealous sky
When we walked in fields of gold
When we walked in fields of gold
When we walked in fields of gold"
03 Anything Could Happen.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\03 Anything Could Happen.mp3,Anything Could Happen,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-08-17,286.17,103,040c8b,69.767715;99.0;44.43307;41.704723;28.84252;45.2126;53.007874;45.602364;56.90551;54.177166;34.688976;39.366142;31.96063;51.83858;38.19685;37.027557;54.56693;43.26378;42.09449;44.43307;57.68504;85.74803;66.649605;0.0;,fd947a,787c74,70,1,Sí,"[Verse 1]
Stripped to the waist, we fall into the river
Cover your eyes so you don't know the secret
I've been trying to hide
We held our breath to see our names are written
On the wreck of '86
That was the year I knew the panic was over

[Pre-Chorus]
Yes, since we found out, since we found out
That anything could happen, anything could happen
Anything could happen, anything could happen
Anything could happen, anything could happen
Anything could

[Instrumental Chorus]

[Verse 2]
After the war, we said we'd fight together
I guess we thought that's just what humans do
Letting darkness grow
As if we need its palette and we need its colour

[Pre-Chorus]
But now I've seen it through and now I know the truth
That anything could happen, anything could happen
Anything could happen, anything could happen
Anything could happen, anything could happen
Anything could

[Instrumental Chorus]

[Bridge]
Baby, I'll give you everything you need
I'll give you everything you need, oh
I'll give you everything you need
But I don't think I need you

[Verse 3]
Stripped to the waist, we fall into the river
Cover your eyes so you don't know the secret
I've been trying to hide
We held our breath to see our names are written
On the wreck of '86
That was the year I knew the panic was over

[Refrain]
Yes, since we found out, since we found out
That anything could happen, anything could happen
Anything could happen, anything could happen
Anything could happen, anything could happen
Anything could

[Bridge]
I know it's gonna be, I know it's gonna be
I know it's gonna be, I know it's gonna be
I know it's gonna be, I know it's gonna be
I know it's gonna be, I know it's gonna be, oh

[Chorus]
(But I don't think I need you)
(But I don't think I need you)
(But I don't think I need you)
(But I don't think I need you)"
04 Only You.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\04 Only You.mp3,Only You,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,230.92,99,5510a9,99.0;93.15354;33.12992;31.96063;31.96063;26.503939;42.874016;44.43307;33.519684;61.582676;51.44882;45.2126;38.97638;44.04331;38.586617;67.81889;58.854332;43.65354;42.09449;41.704723;47.940945;29.232285;20.267717;0.0;,d2731f,192018,59,2,Sí,"[Verse 1]
Only you can be
The aching in my heart, my enemy
The only animal I couldn't fight
You hold me in the dark when storms arrive
Only you

[Verse 2]
Only you can see
The emptiness I feel when you're with me
When everything you say, I'm on my knees
Baby, I'm on my knees, baby, I'm on my knees
Baby, I'm on my knees (Only you)

[Chorus]
When everything you say, I'm on my knees
Baby, I'm on my knees, baby, I'm on my knees
Baby, I'm on my knees (Only you)

[Verse 3]
Only you can be
The aching in my heart, my enemy
The only animal I couldn't fight
You hold me in the dark when storms arrive
Only you

[Bridge]
Only you
Only you

[Verse 4]
Only you can see
The emptiness I feel when you're with me
When everything you say, I'm on my knees
Baby, I'm on my knees, baby, I'm on my knees
Baby, I'm on my knees (Only you)

[Chorus]
When everything you say, I'm on my knees
Baby, I'm on my knees, baby, I'm on my knees
Baby, I'm on my knees (Only you)

[Verse 5]
Only you can be
The aching in my heart, my enemy
The only animal I couldn't fight
You hold me in the dark when storms arrive
Only you

[Bridge]
(Only you)
(Only you)
(Only you)
(Only you)
Only you, only you
Only you, only you
Only you, only you
Only you, only you

[Outro]
Only you can be
The aching in my heart, my enemy
The only animal I couldn't fight
You hold me in the dark when storms arrive
Only you"
02 My Blood.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\02 My Blood.mp3,My Blood,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,234.29,87,191b0d,26.503939;46.771652;89.64567;67.81889;52.228348;49.5;54.177166;42.484253;39.366142;28.84252;24.165356;26.503939;24.944883;35.078743;35.468506;51.83858;55.34646;59.244095;36.24803;29.232285;55.73622;99.0;70.15748;0.0;,b753e9,3bec8a,55,,Sí,"[Verse 1]
That feeling that doesn't go away just did
And I walked a thousand miles to prove it
And I'm caught in the crossfire of my own thoughts
The colour of my blood is all I see on the rocks as you sail from me

[Pre-Chorus]
Alarms will ring for eternity
The waves will break every chain on me
My bones will bleach, my flesh will flee
So help my lifeless frame to breathe

[Chorus]
And God knows I'm not dying, but I breathe now
And God knows it's the only way to heal now
With all the blood I lost with you
It drowns the love I thought I knew

[Verse 2]
The lost dreams are buried in my sleep for him
And this was the ecstasy of a love forgotten
And I'm thrown in the gunfire of empty bullets
And my blood is all I see as you steal my soul from me

[Pre-Chorus]
Alarms will ring for eternity
The waves will break every chain on me

[Chorus]
And God knows I'm not dying, but I bleed now
And God knows it's the only way to heal now
With all the blood I lost with you
It drowns the love I thought I knew

[Instrumental Bridge]

[Chorus]
And God knows I'm not dying, but I bleed now
And God knows it's the only way to heal now
With all the blood I lost with you
It drowns the love I thought I knew
And God knows I'm not dying, but I bleed now
And God knows it's the only way to heal now
With all the blood I lost with you (I lost with you, I lost with you)
It drowns the love I thought I knew (I thought I knew, I thought I—)"
05 Halcyon.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\05 Halcyon.mp3,Halcyon,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,204.8,120,b1b3c8,48.330708;81.46063;99.0;44.43307;62.362206;68.59843;25.724411;74.444885;67.42913;40.145668;24.944883;31.96063;35.468506;42.09449;40.925198;67.42913;89.64567;73.27559;80.291336;67.81889;45.2126;46.771652;15.590553;0.0;,c8412c,603733,12,3,Sí,"[Verse 1]
I know it's not over
Baby, I worked this out for sure
It's gonna be colder
Now you've forced open the door
I know you better
Than I ever have before
I know you

[Verse 2]
I know you're a fighter
But you never fought for me
When I was a shelter
'Cause you're not heading home to me
We could be closer
We could be closer
We could be

[Pre-Chorus]
When it's just us, you show me what it feels like to be lonely
You show me what it feels like to be lost
I take your hand for you to let it go, let it go, let it go, let it go
When it's just us, you show me what it feels like to be lonely
You show me what it feels like to be lost
I take your hand for you to let it go, let it go, let it go, let it go

[Chorus]
It's gonna be (It's gonna be better)
It's gonna be better (It's gonna be better)
It's gonna be better
It's gonna be better
Oh, it's gonna be better
It's gonna be better
It's gonna be (It's gonna be better)
It's gonna be better
It's gonna be better

[Verse 3]
We'll take a long walk
Down the alleys of these houses
And we'll talk
See what conversation rouses
When we're alone
When we're alone
It could be home

[Pre-Chorus]
When it's just us, you show me what it feels like to be lonely
You show me what it feels like to be lost
I take your hand for you to let it go, let it go, let it go, let it go

[Chorus]
It's gonna be
It's gonna be better (It's gonna be better)
It's gonna be better
It's gonna be better
Oh, it's gonna be better
It's gonna be better
It's gonna be (It's gonna be better)
It's gonna be better
It's gonna be (It's gonna be better)
It's gonna be better (It's gonna be better)
It's gonna be better
It's gonna be better
Oh, it's gonna be better
It's gonna be better
It's gonna be (It's gonna be better)
It's gonna be better
It's gonna be better"
06 Figure 8.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\06 Figure 8.mp3,Figure 8,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,247.54,74,714945,94.32283;99.0;76.78346;46.38189;50.279526;62.75197;54.95669;57.68504;44.822834;51.83858;41.31496;35.85827;41.704723;53.7874;45.2126;47.55118;64.31102;60.80315;55.73622;51.059055;61.582676;84.578735;56.125984;0.0;,fc9873,d4d445,97,-4,Sí,"[Intro]
(Take it all away)

[Verse 1]
Breathe your smoke into my lungs
In the back of the car with you
I stare into the sun
Still not too old to die young

[Pre-Chorus]
But lovers hold on to everything
And lovers hold on to anything

[Chorus]
I chase your love around a figure eight
I need you more than I can take
You promise forever and a day
And then you take it all away-way-way-way-way
And then you take it all away-way-way-way-way

[Verse 2]
Place a kiss on my cheekbone
Then you vanish me
I'm buried in the snow
But something tells me I'm not alone

[Pre-Chorus]
But lovers hold on to everything
And lovers hold on to anything

[Chorus]
I chase your love around a figure eight
I need you more than I can take
You promise forever and a day
And then you take it all away-way-way-way-way
And then you take it all away-way-way-way-way

[Bridge]
So lovers hold on to everything
And lovers hold on to anything
So lovers hold on to everything
And lovers hold on to anything

[Chorus]
I chase your love around a figure eight
I need you more than I can take
You promise forever and a day
And then you take it all away
I chase your love around a figure eight
I need you more than I can take
You promise forever and a day
And then you take it all away-way-way-way-way-way-way
And then you take it all away-way-way-way-way"
07 Joy.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\07 Joy.mp3,Joy,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,194.09,93,863e3d,44.822834;53.397636;53.397636;64.70079;56.125984;99.0;58.854332;29.622047;45.992126;48.330708;21.047245;30.011812;23.77559;25.724411;18.3189;25.724411;41.31496;37.027557;51.83858;44.822834;32.350395;34.688976;11.692913;0.0;,2758d2,0cbeae,24,-6,Sí,"[Verse 1]
Stood in the rain and watched you go
I feel a lump in my throat
And this is far from joy, ooh
Ooh, hey
I never seemed to learn
That high makes things harder
That high I get from you
Ooh, oh

[Chorus]
I've figured out that joy is not in your arms
I know I'll always ache with an empty heart
I think it's time to run 'cause I'm seeing stars
I'm seeing stars, watch me fall apart

[Verse 2]
I think of dying all the time
But I've got joy to take my side
Fear is my favorite ride, ooh
Hey, oh

[Chorus]
I've figured out that joy is not in your arms
I know I'll always ache with an empty heart
I think it's time to run 'cause I'm seeing stars
I'm seeing stars, watch me fall apart

[Bridge]
Oh, and then you see, ooh

[Chorus]
I've figured out that joy is not in your arms
I know I'll always ache with an empty heart
I think it's time to run 'cause I'm seeing stars
I'm seeing stars, watch me fall apart

[Outro]
Ooh, hey
Ooh, oh
Yeah, oh
Hey, ooh"
09 Explosions.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\09 Explosions.mp3,Explosions,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,243.98,96,8f4644,8.964569;27.283466;73.66535;89.64567;36.637794;40.145668;99.0;36.637794;72.885826;51.059055;40.925198;23.77559;21.43701;25.334646;15.590553;23.385828;36.24803;42.484253;30.011812;37.417324;51.059055;75.614174;40.145668;0.0;,5c4bee,1cd48e,17,-4,Sí,"[Verse 1]
You trembled like you'd seen a ghost
And I gave in
I lacked the things you need the most
You said, ""Where have you been?""
You wasted all that sweetness to run and hide
I wonder why
I remind you of the days you poured your heart into
But you never tried

[Pre-Chorus]
I've fallen from grace
Took a blow to my face
I've loved and I've lost
I've loved and I've lost

[Chorus]
Explosions
On the day you wake up needing somebody
And you've learned
It's okay to be afraid, but it will never be the same
It will never be the same

[Verse 2]
You left my soul bleeding in the dark
So you could be king, ah
The rules you set are still untold to me
And I've lost my faith in everything

[Pre-Chorus]
The nights you could cope
Your intentions were gold
But the mountains will shake
I need to know I can still make

[Chorus]
Explosions
On the day you wake up needing somebody
And you've learned
It's okay to be afraid, but it will never be the same

[Bridge]
And as the floods move in
And your body starts to sink
I was the last thing on your mind
I know you better than you think
'Cause it's simple, darling
I gave you a warning
Now everything you own
Is falling from the sky in pieces
So watch them fall with you
In slow motion
I pray that you'll find peace of mind
And I'll find you another time
I'll love you another time

[Chorus]
Explosions
On the day you wake up needing somebody
And you've learned
It's okay to be afraid, but it will never be the same"
08 Hanging On.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\08 Hanging On.mp3,Hanging On,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,201.9,70,a2907a,77.173225;98.220474;86.52756;88.08661;83.79921;80.6811;99.0;55.34646;68.98819;78.342514;43.26378;26.503939;41.704723;51.44882;45.602364;45.2126;74.83464;60.80315;38.586617;21.43701;24.165356;46.38189;51.059055;0.0;,076e5b,896e17,60,-4,Sí,"[Intro]
(​dna uoY)
(​dna uoY)
(Yeah, yeah)
(​dna uoY)
(​no, tsuj I)
(​oN)

[Verse 1]
You know we can get away
Because I'm calling your name
Every day, I feel this pain
But you just turn and walk away, no

[Chorus]
I just can't keep hanging on (dna uoY)
To you and me
I just don't know what is wrong (dna uoY)
With you and me (no gnignah, tsuj I)

[Post-Chorus]
Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah

[Verse 2]
Touch me and then turn away
And put your hands into the flame
Tell me if you feel this pain
'Cause I don't wanna be a ball and chain, no

[Chorus]
I just can't keep hanging on
To you and—
I just don't know what is wrong
With you and me
I just can't keep hanging on
To you and me
You and me
With you and me"
11 Atlantis.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\11 Atlantis.mp3,Atlantis,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,232.62,70,8f9190,15.590553;29.232285;35.468506;28.062992;42.874016;54.56693;50.669292;32.350395;99.0;53.007874;35.468506;51.44882;24.555119;39.755905;32.350395;28.84252;45.2126;39.755905;35.078743;32.740158;32.740158;35.468506;15.590553;0.0;,6c028f,0a6105,40,-2,Sí,"[Verse 1]
This is new, feels unused
I've never met anyone like you
Frightening, feeling naked
Sense in searching something sacred

[Pre-Chorus]
Ooh
Ooh
I'll forget you not
I'll forget you not
I'll forget you not
I'll wait for you maybe

[Chorus]
Where did you go? Where did you go?
Where did you go?
Where did you go? Where did you go?
Where did you go? (I'll wait for you)
Go, where did you go?
Where did you go?
Where did you go? Where did you go?
Where did you go? (I'll wait for you)

[Verse 2]
I'm exhausted with lovin'
No fight in me, I'm defeated
I know I'm fooled, I can't help it
You make my heart so helpless

[Pre-Chorus]
Oh, I'll forget you not
I'll forget you not
I'll look for you, for you maybe
I'll forget you not
I'll forget you not
I'll wait for you maybe

[Chorus]
Where did you go? Where did you go?
Where did you go?
Where did you go? Where did you go?
Where did you go? (I'll wait for you)
Go, where did you go?
Where did you go?
Where did you go? Where did you go?
Where did you go? (I'll wait for you)
Where did you go? Where did you go?
Where did you go?
Where did you go? Where did you go?
Where did you go? (I'll wait for you)
Go, where did you go?
Where did you go?
Where did you go? Where did you go?
Where did you go? (I'll wait for you)"
10 I Know You Care.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\10 I Know You Care.mp3,I Know You Care,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,206.29,111,ad7f6c,1.948822;27.67323;75.614174;65.87008;68.59843;99.0;49.110237;61.192913;43.26378;34.299213;42.874016;38.97638;30.401575;36.24803;25.334646;31.181103;31.181103;20.657482;22.6063;13.251968;17.929134;48.330708;33.90945;0.0;,1949b4,08b169,3,-2,Sí,"[Verse 1]
Clinging to me
Like a last breath you would breathe
You were like home to me
I don't recognise this street

[Verse 2]
Please don't close your eyes
Don't know where to look without them
Outside, the cars speed by
I'd never heard them until now

[Chorus]
I know you care
I know it has always been there
But there's trouble ahead, I can feel it
You are just saving yourself when you hide it
Yeah, I know you care
I see it in the way that you stare
As if there was trouble ahead and you knew it
I'll be saving myself from the ruin
And I know you care

[Verse 3]
I used to run down the stairs
To the door when I thought you were there
Too shaped to the comfort of us
Two lovers locked out of love

[Chorus]
Oh, but I know you care
I know it has always been there
But there's trouble ahead, I can feel it
You are just saving yourself when you hide it
Yeah, I know you care
I see it in the way that you stare
As if there was trouble ahead and you knew it
I'll be saving myself from the ruin

[Bridge]
I know it wasn't always wrong
But I've never known a winter so cold
Now, I don't warm my hands in your coat
But I still hope
'Cause this is how things ought to have been
And I know the worst of it wasn't all that it seemed
Why can't I dream?
Why can't I dream?

[Outro]
'Cause I know you care
And I know you care
I know you care
I know you care
I know it's always been there"
12 Dead In the Water.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\12 Dead In the Water.mp3,Dead In the Water,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-05,283.61,87,905350,44.04331;95.102356;45.992126;70.93701;16.370079;12.472443;29.622047;26.114174;23.385828;36.637794;19.098427;30.011812;25.334646;28.452757;25.724411;32.350395;46.38189;33.519684;33.90945;63.921257;76.00394;99.0;47.16142;0.0;,f0b598,467cf0,11,-7,Sí,"[Intro]
(Why didn't you find me?)

[Verse 1]
If I was not myself
And you were someone else
I'd say so much to you
And I would tell the truth
'Cause I can hardly breathe
When your hands let go of me
The ice is thinning out
And my feet brace themselves

[Chorus]
I'm there in the water
Still looking for ya
I'm there in the water
Can't you see? Can't you see?

[Verse 2]
You've seen this all before
A life left on the shore
But smiling all the same
You sail away again

[Chorus]
I'm there in the water
Still looking for ya
I'm there in the water
Can't you see? Can't you see?

[Bridge]
Oh
Oh
Oh
Oh

[Chorus]
Oh, yeah, I'm dead (I'm dead in the water)
I'm dead in the water (Still looking for ya)
Oh, still looking for you, for you, for you, oh (I'm dead in the water)
Can't you see? Can't you see?
I'm dead in the water
Still looking for ya
I'm dead in the water
Can't you see?
I'm dead in the water
Still looking for ya
I'm dead in the water
Can't you see? Can't you see?

[Outro]
(Why didn't you find me?)"
13 Burn.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\13 Burn.mp3,Burn,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-07-05,231.31,87,010403,77.173225;98.220474;77.95276;65.09055;63.921257;99.0;50.279526;93.15354;48.330708;42.874016;36.637794;46.771652;35.078743;45.992126;31.570868;37.027557;54.177166;63.531494;71.32677;73.27559;67.81889;97.8307;90.42519;0.0;,e098d0,b47b64,70,2,Sí,"[Verse 1]
We
We don't have to worry 'bout nothing
'Cause we got the fire
And we're burning one hell of a something
They
They're gonna see us from outer space, outer space
Light it up
Like we're the stars of the human race, human race

[Refrain]
When the lights turned down
They don't know what they heard
Strike the match, play it loud
Giving love to the world
We'll be raising our hands
Shinin' up to the sky

[Pre-Chorus]
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire

[Chorus]
And we gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn
Gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn

[Verse 2]
We don't wanna leave, no
We just wanna be right now, right, ri-ri-right now
And what we see
Is everybody's on the floor, actin' crazy, gettin' loco till the lights out
Music's on, I'm waking up
We start the fire, then we burn it up
And it's over now, we got the love
There's no sleepin' now, no sleepin' now, sleepin' now

[Refrain]
When the lights turned down
They don't know what they heard
Strike the match, play it loud
Giving love to the world
We'll be raising our hands
Shinin' up to the sky

[Pre-Chorus]
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire

[Chorus]
And we gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn
Gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn

[Refrain]
When the lights turned down
They don't know what they heard
Strike the match, play it loud
Giving love to the world

[Bridge]
We gonna let it burn, burn, burn, burn, burn, burn (Ooh)
Burn, burn, burn, burn, burn, burn (Ooh)
We can light it up, up, up
So they can't put it out, out, out
We can light it up, up, up
So they can't put it out, out, out
We can light it up, up, up
So they can't put it out, out, out
We can light it up, up, up
So they can't put it out, out, out

[Refrain]
When the lights turned down
They don't know what they heard
Strike the match, play it loud
Giving love to the world
We'll be raising our hands
Shinin' up to the sky

[Pre-Chorus]
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire

[Chorus]
And we gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn
Gonna let it burn, burn, burn, burn
We gonna let it burn, burn, burn, burn (Let it burn)

[Outro]
When the lights turned down
They don't know what they heard
Strike the match, play it loud
Giving love to the world
We'll be raising our hands (Burn, burn, burn, burn)
Shinin' up to the sky (We gonna let it burn, burn, let it burn)
'Cause we got the fire, fire, fire
Yeah, we got the fire, fire, fire
And we gonna let it burn"
16 Ritual.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\16 Ritual.mp3,Ritual,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-12,230.53,115,410fac,68.98819;67.42913;53.397636;42.484253;58.464565;42.484253;43.26378;38.586617;99.0;38.97638;39.755905;52.228348;38.586617;66.649605;57.68504;54.56693;61.192913;56.90551;61.582676;60.413383;58.464565;65.87008;56.515747;0.0;,df2f69,80665b,100,-5,Sí,"[Verse 1]
We run into a blazing fire
We hold our heads up high tonight
And we breathe the smoke, the fear, real
We let our hearts subside tonight

[Pre-Chorus]
But it marks my skin 'cause I know I've sinned
And it plagues the air on my house looming
There's a sound out here in the darkest woods
And I know my fears are understood

[Chorus]
It's a ritual and I know you feel it
It's a ritual and I know you see it
It's a ritual and I know you feel it
You feel it, you feel it, you feel it, oh

[Verse 2]
We move into the Devil's shoes
It's far too late to be rescued
From highway seas and thunder skies
We see our fate, you hear our cries

[Pre-Chorus]
They go, ""Oh, oh, oh, oh, oh, oh""
And it won't stop here, echo in my ear
There's a raging fire and it burns so near
But I'm ready now, but I'm ready now

[Chorus]
It's a ritual and I know you feel it
It's a ritual and I know you see it
It's a ritual and I know you feel it
You feel it, you feel it, you feel it, oh
It's a ritual and I know you feel it
It's a ritual and I know you see it
It's a ritual and I know you feel it
You feel it, you feel it, you feel it, oh

[Post-Chorus]
The ritual, we lose it all
The ritual, we lose it all
The ritual, we lose it all
The ritual, we lose it all

[Bridge]
Oh, we lose it all
We lose it all

[Chorus]
It's a ritual and I know you feel it
It's a ritual and I know you see it
It's a ritual and I know you feel it
You feel it, you feel it, you feel it (We lose it all)

[Post-Chorus]
The ritual, we lose it all
The ritual, we lose it all
The ritual, we lose it all
The ritual, we lose it all

[Outro]
The ritual, we lose it all
The ritual, we lose it all (We lose it all)
The ritual, we lose it all
The ritual, we lose it all (We lose it all)"
17 In My City.mp3,E:\iTunes\iTunes Media\Music\Ellie Goulding\Halcyon (Deluxe)\17 In My City.mp3,In My City,Ellie Goulding,Halcyon (Deluxe),Ellie Goulding,Pop,2013-10-12,199.68,140,b0c0b6,90.81496;99.0;42.09449;40.145668;54.177166;28.452757;31.570868;41.31496;56.515747;77.95276;70.15748;41.31496;51.83858;60.02362;45.602364;61.582676;77.173225;63.14173;48.330708;41.704723;54.95669;79.51181;44.04331;0.0;,ed5d48,7e5450,94,-1,Sí,"[Verse 1]
If I ever had a wish in the whole world
I would've listened to my brother when he spoke to me
And I never would've played with my conscience
In the fields where I was in their company

[Pre-Chorus]
But you gave me wings and I used them
I used them, I used them on my youth
And you gave me wings and I used them
I used them and I won't lose them
Now I found my feet, count to one, two, three
And I'm taking off tonight, now I'm free
As I walk my feet on the cold concrete
And I, and I, and I

[Chorus]
I can feel my dreams
When I'm in my city
I fall on my knees
For my, for my city
We're going off the dream
In my, in my city
And that's where I'll stay
And that's where I'll stay, in my city

[Verse 2]
Rolling down the streets in my new town
With the lights blinding and my heart weighed down
I think I'll get a job with stealing people's thunder
But the folks back home, I'll make them proud

[Pre-Chorus]
But you gave me wings and I used them
I used them, I used them on my youth
Yeah, you gave me wings and I used them
I used them and I won't lose them, I don't wanna lose them

[Chorus]
I can feel my dreams
When I'm in my city
I fall on my knees
For my, for my city
We're going off the dream (In my)
In my, in my city
And that's where I'll stay (City)
And that's where I'll stay, in my city

[Bridge]
Shoulders ache for wanted wings
My city shakes the fear in me

[Chorus]
I can feel my dreams
When I'm in my city
I fall on my knees
For my, for my city
We're going off the dream (In my city)
In my, in my city
And that's where I'll stay
And that's where I'll stay, in my city"
